1, を創り出す
2, 増加する
3, を向上させる
4, を意味する
5, を所有している
6, を含む
7, を見なす
8, を許す
9, を提案する
10, を生産する
11, を決める
12, を提供する
13, を要求する
14, を共有する
15, を保存する
16, 傾向がある
17, （受身形で）心配している
18, について述べる
19, を関与させる
20, を減らす
21, を設計する
22, に強いる
23, を制限［規制］する
24, に耐える
25, に影響を及ぼす
26, （～ withで） を処理する
27, を避ける
28, を関連づける
29, に気づく
30, を奨励する
31, を比較する
32, を測る
33, 存在する
34, に印をつける
35, に異議を唱える
36, 頼る
37, 反対する
38, を要求する
39, を設立する
40, を完成させる
41, 考え
42, 一致
43, 会社
44, 興味
45, 研究
46, 原因
47, 理由
48, 影響
49, 影響（力）
50, 状況
51, 環境
52, 技能
53, 事柄
54, 見解
55, 価値
56, （生物の）種
57, 考え
58, 知識
59, 記憶（力）
60, 実践
61, 利益
62, 学説
63, 問題（点）
64, 実験
65, 記事
66, 焦点
67, 話題
68, 計画
69,質
70, 役割
71, （専門）用語
72, 声明
73, 材料
74, 証拠
75,源
76, （共同）社会
77, 科学技術
78, 文化
79, 適切な
80, ありそうな
81, 可能な
82, 個々の
83, 公の
84, 共通の
85, 確信して
86, 似ている
87, 最近の
88, 主要な
89, 忍耐強い
90, 特定の
91, 身体の
92, さまざまな
93, 手に入る
94, 出生地の
95, 政治（上）の
96, 予定された
97, 空白の
98, 古代の
99, 正しい
100, ～にもかかわらず
101, に気づく
102, 言及する
103, に近づく
104, かなと思う
105, （を）想像する
106, を識別できる
107, を解く
108, 起こる
109, と主張する
110, と主張する
111, を表す
112, を引き出す
113, を浪費する
114, を進歩させる
115, を広める
116, を準備する
117, を獲得する
118, を達成す
119, を確立する
120, を供給する
121, と思う
122, （を）行う
123, のほうを好む
124, を決定する
125, を扱う
126, を証明する
127, を適用［応用］する
128, に言及する
129, 情報交換をする
130, を含む
131, と連絡を取る
132, を見なす
133, を尊敬する
134, 捜す
135, をつなぐ
136, 減少する
137, を妨げる
138, 苦しむ
139, を切り抜けて生き残る
140, を出版する
141, 機会
142, （課せられた）仕事
143, 産業
144, （情報伝達の）媒体
145, 経済（状態）
146, 政策
147, 説明
148, 貿易
149, 模範
150, 数字
151, 細胞
152, 印象
153, 感情
154, ストレス
155, 10年間
156, 範囲
157, 性格
158, 利点
159,句
160, 損害
161, 影響
162, 方法
163, 資源
164, 地域
165,薬
166, 詳細（な情報）
167, 特徴
168, 機能
169, 利用
170, 品目
171, 収入
172, 態度
173, 用地
174, （物事の）側面
175, 構
176, 習慣
177, 関連
178, （具体的な）例
179, 肯定的な
180, 否定的な
181, 複雑な
182, 現在の
183, 精神の
184, 特定の
185, 重要な
186, 必要不可欠な
187, 公用の
188, 財政（上）の
189, 学問の
190, 気づいて
191, に値する
192, 潜在的な
193, 積極的な
194, デジタル方式の
195, 可動［移動］式の
196, 斬新な
197, 柔軟な
198, 化学の
199, 必要な
200, 結局（は）
201, を特定する
202, を表す
203, を指し示す
204, をなんとか成し遂げる
205, に出席する
206, を維持する
207, を調査する
208, に取って代わる
209, を分類する
210, （調査・実験など）を実施する
211, を結び付けて考える
212, を試みる
213, を促進する
214, を稼ぐ
215, を団結させる
216, に食べ物［乳］を与える
217, を追い求める
218, に気づく
219, を明らかにする
220, と推定する
221, を反映する
222, を引きつける
223, 減少する
224, を無視する
225, （と）合う
226, を定義する
227, 適応する
228, 貢献する
229, （を）交換する
230, を示す
231, 反応する
232, を隠す
233, ではないと思う
234, を取り除く
235, （ねじなど）を巻く
236, を当然のことと思う
237, くつろぐ
238, を満足させる
239, を強く望む
240, 成功する
241, 概念
242, 流行
243, 装置
244, 料金
245, 対照
246, （職場の）同僚
247, 苦痛
248, 請求書
249, 内容
250, 部門
251, 聴衆
252, 表面
253, 作物
254, 話題
255, 技術
256, 地位
257, 選択（の自由）
258, 報酬
259, 人種
260,罪
261, 争い
262, 闘い
263, 状況
264, 討論
265, 燃料
266, 汚染
267, 傾向
268, 均衡
269, 交通
270, 戦略
271, 基礎
272, 結果
273, 目的
274, 祖先
275, 遺伝子
276,跡
277, 革命
278, 進歩
279, 認知の
280, 理想的な
281, 効率的な
282, 普遍的な
283, 莫大な
284, 追加の
285, 全体の
286, 精通している
287, 明らかな
288, 道徳（上）の
289, 一般の
290, 等しい
291, 以前の
292, 間違った
293, まれな
294, 法律の
295, 独立した
296, 極端な
297, 実際の
298, いとわない
299, 都市の
300, ～するのに（対し）
301, を予言［予測］する
302, を調べる
303, を信頼する
304, を動けなくする
305, 現れる
306, さまざまである
307, を放出する
308, を分ける
309, （人）が…できるようにする
310, （を）判断する
311, 頼る
312, を従事させる
313, を変える
314, を採用する
315, を得る
316, （を）拡大する
317, を拒む
318, の心を打つ
319, （を）繰り返す
320, を消費する
321, を混同する
322, を選ぶ
323, （徐々に）発展する
324, を納得［確信］させる
325, を思い出す
326, を破壊する
327, を保存する
